full_address,lat,lng
127 Bukit Batok West Avenue 6,1.351874,103.746087
205 Bukit Batok Street 21,1.34714,103.749874
248 Bukit Batok East Avenue 5,1.350312,103.75647
258 Bukit Batok East Avenue 4,1.351283,103.758829
4 Hillview Avenue,1.366319,103.762235
6 Hillview Avenue,1.36483,103.765093
2 Hillview Avenue,1.36483,103.765093
146 Bukit Batok West Avenue 6,1.349714,103.744093
138 Bukit Batok West Avenue 6,1.350034,103.744246
134 Bukit Batok West Avenue 6,1.351599,103.744443
143 Bukit Batok Street 11,1.350364,103.743919
145 Bukit Batok Street 11,1.349988,103.743728
182 Bukit Batok West Avenue 8,1.345636,103.743865
180 Bukit Batok West Avenue 8,1.345617,103.742904
228 Bukit Batok Central,1.348703,103.753766
227 Bukit Batok Central,1.348463,103.753464
219 Bukit Batok Street 21,1.347163,103.755055
244 Bukit Batok East Avenue 5,1.349401,103.757146
116 Bukit Batok West Avenue 6,1.349665,103.746258
113 Bukit Batok West Avenue 6,1.348823,103.745132
163 Bukit Batok Street 11,1.348154,103.742648
169 Bukit Batok West Avenue 8,1.346621,103.740906
165 Bukit Batok West Avenue 8,1.347378,103.742002
129 Bukit Batok West Avenue 6,1.351475,103.746038
204 Bukit Batok Street 21,1.347625,103.749922
209 Bukit Batok Street 21,1.345498,103.748744
135 Bukit Batok West Avenue 6,1.351271,103.744801
184 Bukit Batok West Avenue 8,1.346248,103.743831
225 Bukit Batok Central,1.348558,103.752405
123 Bukit Batok Central,1.351433,103.747508
307 Bukit Batok Street 31,1.358201,103.748119
216 Bukit Batok Street 21,1.347128,103.753536
115 Bukit Batok West Avenue 6,1.349202,103.746572
117 Bukit Batok West Avenue 6,1.349981,103.747147
111 Bukit Batok West Avenue 6,1.348407,103.745972
103 Bukit Batok Central,1.348354,103.747986
223 Bukit Batok East Avenue 3,1.348062,103.753303
221 Bukit Batok East Avenue 3,1.347503,103.753665
214 Bukit Batok Street 21,1.347486,103.752813
120 Bukit Batok Central,1.350955,103.747594
121 Bukit Batok Central,1.351516,103.747889
142 Bukit Batok Street 11,1.349966,103.743011
140 Bukit Batok Street 11,1.350844,103.743714
141 Bukit Batok Street 11,1.350405,103.743356
33 Taman Ho Swee,1.288085,103.830962
7 Telok Blangah Crescent,1.278365,103.819396
40 Beo Crescent,1.289068,103.82752
44 Telok Blangah Drive,1.271335,103.810416
46 Telok Blangah Drive,1.271758,103.809868
103 Depot Road,1.28081,103.813436
110 Depot Road,1.281514,103.808698
42 Telok Blangah Rise,1.270974,103.822706
132 Jalan Bukit Merah,1.278822,103.828298
133 Jalan Bukit Merah,1.279574,103.827409
96 Henderson Road,1.286854,103.821694
77 Indus Road,1.291038,103.827128
78 Indus Road,1.291502,103.827197
128 Bukit Merah View,1.283024,103.823275
